######## ELECTION INFO ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organization,Election Name,State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County - California,"November 3, 2020 General Election",CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######## CONTESTS ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contest Name,Targeted?,Number of Winners,Votes Allowed,Total Ballots Cast,Tabulated Votes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governing Board Member Big Pine Unified School,Targeted,1,3,1023,SANDY LUND: 657; PAUL HUETTE: 534; TUSHAR RAMAN OZA: 227; MICHELLE (SHELLY) A. SNODERLY: 511; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governing Board Member Lone Pine Unified School,Targeted,1,2,1124,SUSAN LUTZE: 743; SUSAN K. PATTON: 401; LEIGH MILLER: 324; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"County Supervisor, 4th District",Targeted,1,1,1763,DONALD BRIGHT: 754; JEN ROESER: 902; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bishop City Treasurer,Targeted,1,1,1802,NICK LARA: 1188; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Pine Fire Protection District,Targeted,1,3,970,CAROL K. OZA: 198; JERI FAYE STOUT: 475; MICHAEL CARRINGTON: 567; KERRY KOONTZ: 520; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Director, Zone 1 Northern Inyo Healthcare District",Targeted,1,1,1672,JODY VEENKER: 737; KYLE WAKAMIYA: 671; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure P - The Bishop Community Safety And Essential Services Measure,Targeted,1,1,1802,YES: 1161; NO: 536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######## AUDIT SETTINGS ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audit Name,Audit Type,Audit Math Type,Risk Limit,Random Seed,Online Data Entry?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,BALLOT_COMPARISON,SUPERSIMPLE,5%,01685534362931444020,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######## AUDIT BOARDS ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jurisdiction Name,Audit Board Name,Member 1 Name,Member 1 Affiliation,Member 2 Name,Member 2 Affiliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo County,Audit Board #1,Terry Fenske,,Jessica Yip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
######## ROUNDS ########,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Round Number,Contest Name,Targeted?,Sample Size,Risk Limit Met?,P-Value,Start Time,End Time,Audited Votes,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Governing Board Member Big Pine Unified School,Targeted,57,Yes,0.0334683365,2020-11-24T16:50:49.813440+00:00,2020-11-25T00:20:04.903212+00:00,SANDY LUND: 37; PAUL HUETTE: 32; TUSHAR RAMAN OZA: 13; MICHELLE (SHELLY) A. SNODERLY: 22; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Governing Board Member Lone Pine Unified School,Targeted,23,Yes,0.0262207507,2020-11-24T16:50:49.813440+00:00,2020-11-25T00:20:04.903212+00:00,SUSAN LUTZE: 16; SUSAN K. PATTON: 9; LEIGH MILLER: 5; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"County Supervisor, 4th District",Targeted,81,Yes,0.035435645,2020-11-24T16:50:49.813440+00:00,2020-11-25T00:20:04.903212+00:00,DONALD BRIGHT: 29; JEN ROESER: 49; Write-in: 0,,,,,,,,,,,,,,,,,,,,,,,,,,
